Fund Name,RMSE,MAPE,SMAPE,R2_Score,Forecasted_1Y_CAGR (%),Historical_5Y_CAGR (%)
Mirae Asset Short Duration Growth Direct Plan,0.083907362719445,0.38121349631386925,0.38250800871889235,0.9819530071305884,-8.980325362869323,6.408928903587219
Kotak Corporate Bond Growth Direct Plan,24.578270353103495,0.19566591154581986,0.1981811412110897,0.9725259382805826,-12.233483777999943,6.6233806325818545
PGIM India Corporate Bond Growth Direct Plan,0.31578670048344915,0.5275029709454747,0.5297373999349895,0.9688954507488324,-11.033616866978956,6.647013725503914
HDFC Short Term Debt Growth Direct Plan,0.2285240475037548,0.2454049085328184,0.2484823990851449,0.9645080438720194,0.20933159113369904,6.735293606503823
Nippon India Corporate Bond Growth Direct Plan,0.4572541553745898,0.23907321188209518,0.242516454370097,0.9644948636746238,-13.83000134338792,7.220592216921884
HDFC Corporate Bond Growth Direct Plan,0.24607497655802194,0.3536172463535058,0.35705819730998356,0.9607968838687554,0.17641622076023378,6.587444473833637
Parag Parikh Flexi Cap Growth Direct Plan,1.0377622986035817,0.8685066002825363,0.8707362743418703,0.9603505565327858,-13.81254721980586,24.512865965282394
ICICI Prudential Short Term Growth Direct Plan,0.487516306898156,0.2800276912570307,0.28360109530081,0.9590340298376049,-13.705745296029237,7.199649464674929
HDFC ELSS Tax Saver Growth Direct Plan,19.249215245867234,0.9813715765355979,0.9869169090500254,0.9539959441488668,-13.025788196746625,26.141547645077235
HDFC Flexicap Growth Direct Plan,29.126641547258394,1.0556170497372834,1.0662007991177864,0.9531478865488402,-12.549373860456514,29.282247396255467
Edelweiss Aggressive Hybrid Growth Direct Plan,0.871682392126705,1.055847698152086,1.0612727189673044,0.9529888153420512,-13.14749410991759,22.228646646483163
ICICI Prudential Large & Mid Cap Growth Direct Plan,14.879226736138518,1.0815536677544861,1.086214373340164,0.9498519461148913,-12.25158767965534,28.286967721029875
ICICI Prudential Equity & Debt Growth Direct Plan,4.764314285099956,0.7776811138518815,0.7830021456092484,0.9489325967835465,-13.94790737168805,25.7974721185118
DSP Aggressive Hybrid Growth Direct Plan,6.077116646504995,1.1304201558693423,1.1444696910576113,0.94656102627595,2.7472539750261538,18.838613651261916
DSP ELSS Tax Saver Growth Direct Plan,2.5304871880589266,1.3561644738147012,1.3641103851478618,0.9442396978405188,2.6088738818420554,24.984073877375934
UTI Large & Mid Cap Growth Direct Plan,3.2548650469425215,1.4388177213308606,1.4464033015334088,0.9433022417664338,-11.820230802058273,26.619321361282246
Motilal Oswal Flexi Cap Growth Direct Plan,1.4283485707897943,1.7225703533030479,1.732546455112765,0.9412497982631587,-12.739887387693383,20.681045517751873
Motilal Oswal Midcap Growth Direct Plan,2.91034610482408,1.9423793861671066,1.9409222296462396,0.9404082433644844,-11.234708088279765,36.40903814531558
HDFC Large & Mid Cap Growth Direct Plan,5.487484169991098,1.2806078607352274,1.2807216889775488,0.9349212542650992,-9.004460075868149,27.799688148093438
Edelweiss Mid Cap Growth Direct Plan,2.6182259220190325,1.9086001407231503,1.8969853119361426,0.9340890778593428,-10.823002399102599,32.787854282550825
Nippon India Vision Large & Mid Cap Growth Direct Plan,26.087420979914473,1.359304893506512,1.3669359653045077,0.9320580069880038,-13.289822362672199,25.29177964155973
Invesco India Midcap Growth Direct Plan,5.1982226060385,2.2185410688347926,2.2267809283709505,0.9318755063780422,-9.826645625635278,30.80560127938177
Franklin India Flexi Cap Growth Direct Plan,28.737219596542836,1.2648757111973246,1.2750560222476854,0.927627502909971,-13.88029556704291,25.782234204774547
UTI Short Duration Growth Direct Plan,0.32683837465667537,0.7349616210537936,0.7403092162859346,0.9259220076343836,-9.921874216546966,7.588508762415236
Aditya Birla Sun Life Corporate Bond Growth Direct Plan,1.1822215564159027,0.2759251588332771,0.2828153202721382,0.9232149985177817,-13.670443493863182,6.695460291102506
HDFC Large Cap Growth Direct Plan,15.654751160345114,0.9273429781885528,0.9339503461773119,0.9227499039712775,-14.285436251672145,22.11958288844853
ICICI Prudential Large Cap Growth Direct Plan,1.6913416974805768,1.0787630737890823,1.0881499734749065,0.9224826277351823,-13.78864166427517,22.620824976364396
Franklin India Aggressive Hybrid Growth Direct Plan,4.2016229713789865,1.0077468721396288,1.0185237407849757,0.9187238142368165,-14.402579211461287,19.5612523821826
ICICI Prudential Nifty Next 50 Index Growth Direct Plan,1.3945073317174137,1.7807973230828913,1.7822341062954634,0.9187047559851098,-15.413157913337061,20.101470968389723
JM Flexicap Growth Direct Plan,2.4149228525736977,1.7723540509022755,1.7622030204452175,0.9185822250241998,-14.068721930193984,26.6162247090177
Kotak Midcap Growth Direct Plan,3.790357143548343,2.145063516643151,2.1671530365201392,0.9184725579794656,-12.676174195346812,30.61681187222216
HDFC Mid Cap Growth Direct Plan,4.147600388146563,1.6114902045461386,1.6049661328770362,0.9162429402526271,-12.430865991791585,31.856310695042865
Tata Small Cap Growth Direct Plan,1.1795704863919394,2.2028858189528204,2.20763178966933,0.9137399941077197,-15.816166587341762,34.57565484423824
Canara Robeco Large Cap Growth Direct Plan,1.2173352332002183,1.334900312322624,1.3505825162937866,0.9121959880575113,-13.173591484367819,20.050719772727987
INF204K01HY3.json,4.19760607504335,2.052642716885746,2.04458017532144,0.9051154983130393,-10.424589726698274,35.83580935690396
Aditya Birla Sun Life Large Cap Growth Direct Plan,10.29842844544901,1.3822594789894183,1.4002214593988567,0.8994324780837909,-14.050969664657377,20.617611475222965
Bandhan Large & Mid Cap Growth Direct Plan,3.3581861569247677,1.6218568590125497,1.6268099198373793,0.8969983674911266,3.0435989359006266,27.885177213572266
Kotak Aggressive Hybrid Growth Direct Plan,1.4707506482481933,1.7694742971224098,1.7923777156907608,0.8919962226295157,-10.919993083327872,21.700789860069804
Franklin India Large Cap Growth Direct Plan,20.772561699164225,1.4842809891782451,1.503777016594431,0.8909008724590232,-13.011646249747933,20.296772485470683
INF179KA1RZ8.json,3.103056961335196,1.8431114121187597,1.83106770855734,0.8867290001097383,-11.226620288580847,32.82162672526383
Bandhan Focused Growth Direct Plan,2.6108352693035797,1.8008341916606094,1.8351757277962837,0.8830412427625627,3.872832098000134,20.16287584081846
Edelweiss Small Cap Growth Direct Plan,1.275847567088259,1.9642936163340754,1.9467060225187127,0.8829756892768036,-15.479018217340656,33.96646752989165
Nippon India Index Nifty 50 Growth Direct Plan,0.7353258736551911,1.2438634823638846,1.2584636515607446,0.8808900041283809,-12.734471228850508,18.38138737955084
INF761K01DP9.json,0.8534388121009737,1.8227779461864781,1.8087065136676086,0.8726896109530612,-12.123660258739566,25.445454581900194
Franklin India Small Cap Growth Direct Plan,5.448126174437424,2.2457703544733105,2.224735727892069,0.8716684426059522,-13.955196054414564,33.66976953649166
