StockName,Ticker,Beta,Volatility,Risk Category
ICICI Lombard Gen. Insurance Co. Ltd.,ICICIGI.NS,0.59,0.245,Low Risk
ICICI Prudential Life Insurance Co. Ltd.,ICICIPRULI.NS,0.58,0.2333,Low Risk
Indian Oil Corporation Ltd.,IOC.NS,0.78,0.2657,Medium Risk
Indian Railway Catering & Tourism Corp. Ltd.,IRCTC.NS,0.1,0.2484,Low Risk
IndusInd Bank Ltd.,INDUSINDBK.NS,0.65,0.4381,High Risk
Info Edge (India) Ltd.,NAUKRI.NS,0.69,0.3378,Medium Risk
Infosys Ltd.,INFY.NS,0.35,0.2452,Low Risk
InterGlobe Aviation Ltd.,INDIGO.NS,0.92,0.2893,Medium Risk
ITC Ltd.,ITC.NS,0.06,0.1795,Low Risk
Jindal Steel & Power Ltd.,JINDALSTEL.NS,0.78,0.2975,Medium Risk
Jio Financial Services Ltd.,JIOFIN.NS,,0.3304,Medium Risk
JSW Steel Ltd.,JSWSTEEL.NS,0.65,0.2467,Low Risk
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,0.38,0.2356,Low Risk
Larsen & Toubro Ltd.,LT.NS,0.5,0.2447,Low Risk
Life Insurance Corporation of India,LICI.NS,0.53,0.247,Low Risk
LTIMindtree Ltd.,LTIM.NS,0.44,0.296,Medium Risk
Macrotech Developers Ltd.,LODHA.NS,0.23,0.4308,High Risk
Mahindra & Mahindra Ltd.,M&M.NS,0.51,0.2903,Medium Risk
Marico Ltd.,MARICO.NS,0.16,0.2222,Low Risk
Maruti Suzuki India Ltd.,MARUTI.NS,0.19,0.2212,Low Risk
Nestle India Ltd.,NESTLEIND.NS,0.24,0.1968,Low Risk
NTPC Ltd.,NTPC.NS,0.3,0.2413,Low Risk
Oil & Natural Gas Corporation Ltd.,ONGC.NS,0.38,0.2606,Medium Risk
Page Industries Ltd.,PAGEIND.NS,0.1,0.2536,Medium Risk
Pidilite Industries Ltd.,PIDILITIND.NS,0.34,0.1884,Low Risk
PNB Gilts Ltd.,PNBGILTS.NS,0.37,0.3948,Medium Risk
Power Finance Corporation Ltd.,PFC.NS,0.75,0.3674,Medium Risk
Power Grid Corporation of India Ltd.,POWERGRID.NS,0.27,0.2388,Low Risk
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,0.17,0.1992,Low Risk
Punjab National Bank,PNB.NS,0.58,0.2983,Medium Risk
REC Ltd.,RECLTD.NS,0.41,0.3661,Medium Risk
Reliance Industries Ltd.,RELIANCE.NS,0.22,0.2099,Low Risk
Samvardhana Motherson Int. Ltd.,MOTHERSON.NS,1.17,0.351,Medium Risk
SBI Cards and Payment Services Ltd.,SBICARD.NS,0.28,0.2642,Medium Risk
SBI Life Insurance Company Ltd.,SBILIFE.NS,0.38,0.2355,Low Risk
Shree Cement Ltd.,SHREECEM.NS,0.23,0.2147,Low Risk
Shriram Finance Ltd.,SHRIRAMFIN.NS,0.85,0.3553,Medium Risk
Siemens Ltd.,SIEMENS.NS,0.48,0.5503,High Risk
SRF Ltd.,SRF.NS,0.22,0.301,Medium Risk
State Bank of India,SBIN.NS,0.49,0.2142,Low Risk
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,0.31,0.2043,Low Risk
Swiggy (Bundl Technologies),SWIGGY.NS,,0.5355,High Risk
Tata Consultancy Services Ltd.,TCS.NS,0.33,0.1998,Low Risk
Tata Consumer Products Ltd.,TATACONSUM.NS,0.42,0.2379,Low Risk
Tata Motors Ltd.,TATAMOTORS.NS,1.12,0.2983,Medium Risk
Tata Power Company Ltd.,TATAPOWER.NS,0.59,0.281,Medium Risk
Tata Steel Ltd.,TATASTEEL.NS,1.07,0.2776,Medium Risk
Tech Mahindra Ltd.,TECHM.NS,0.34,0.2599,Medium Risk
Titan Company Ltd.,TITAN.NS,0.3,0.2208,Low Risk
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,0.13,0.2315,Low Risk
