file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
PGIMIndiaDynamicBondQuarterlyIDCWPayoutDirectPlan_INF663L01AI6.xlsx,INF663L01AI6,PGIM India Dynamic Bond Quarterly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Dynamic Bond,9.52,26.764,2.27,1.24,1.38,4.46,Low
SBIBankingPSUGrowthDirectPlan_INF200K01V08.xlsx,INF200K01V08,SBI Banking & PSU Growth Direct Plan,SBIMutualFund_MF,Debt - Bonds,Banking and PSU Fund,11.08,201.1729,8.74,7.82,8.49,1.42,Low
PGIMIndiaUltraShortDurationWeeklyIDCWReinvestDirectPlan_INF223J01QS8.xlsx,INF223J01QS8,PGIM India Ultra Short Duration Weekly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,8.77,0.0045,0.04,0.02,0.0,18.49,Medium
SundaramBalancedAdvantageMonthlyIDCWPayoutDirectPlan_INF173K01FF3.xlsx,INF173K01FF3,Sundaram Balanced Advantage Monthly IDCW Payout Direct Plan,SUNDARAMMUTUALFUND_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,2.97,0.7283,4.05,7.06,5.4,8.11,Low
SBIFocusedEquityIDCWPayoutDirectPlan_INF200K01RI3.xlsx,INF200K01RI3,SBI Focused Equity IDCW Payout Direct Plan,SBIMutualFund_MF,Equity,Focused Fund,11.98,9.7661,21.39,19.88,18.8,14.48,Low
SBIGoldGrowthDirectPlan_INF200K01RP8.xlsx,INF200K01RP8,SBI Gold Growth Direct Plan,SBIMutualFund_MF,Debt - Bonds,Fund of Funds,11.96,2.5887,18.75,22.77,27.61,12.98,Low
SundaramConservativeHybridGrowthDirectPlan_INF903J01OP6.xlsx,INF903J01OP6,Sundaram Conservative Hybrid Growth Direct Plan,SUNDARAMMUTUALFUND_MF,Debt - Bonds,Conservative Hybrid Fund,11.94,3.6286,17.27,9.73,9.13,5.15,Low
SBILargeMidcapIDCWPayoutDirectPlan_INF200K01UI7.xlsx,INF200K01UI7,SBI Large & Midcap IDCW Payout Direct Plan,SBIMutualFund_MF,Equity,Large & Mid Cap fund,11.98,34.4258,22.08,23.49,19.23,15.81,Medium
SBIMagnumUltraShortDurationWeeklyIDCWPayoutDirectPlan_INF200K01TI9.xlsx,INF200K01TI9,SBI Magnum Ultra Short Duration Weekly IDCW Payout Direct Plan,SBIMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,12.09,30.263,2.69,2.42,1.07,0.85,Low
SBIMagnumGiltIDCWPayoutDirectPlan_INF200K01SG5.xlsx,INF200K01SG5,SBI Magnum Gilt IDCW Payout Direct Plan,SBIMutualFund_MF,Debt - Bonds,Gilt Fund,11.96,1.8165,11.45,8.63,8.61,4.84,Low
