file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
PGIMIndiaFlexiCapGrowthDirectPlan_INF663L01FF1.xlsx,INF663L01FF1,PGIM India Flexi Cap Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Flexi Cap Fund,9.8,3.9359,18.29,18.99,17.09,16.02,Medium
PGIMIndiaFlexiCapIDCWPayoutDirectPlan_INF663L01FG9.xlsx,INF663L01FG9,PGIM India Flexi Cap IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Flexi Cap Fund,9.8,2.5496,16.56,8.85,5.74,17.18,Medium
QuantLargeMidCapIDCWPayoutDirectPlan_INF966L01622.xlsx,INF966L01622,Quant Large & Mid Cap IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Large & Mid Cap fund,11.98,6.4052,24.68,25.58,20.1,46.6,High
PGIMIndiaLiquidMonthlyIDCWPayoutDirectPlan_INF223J01NT3.xlsx,INF223J01NT3,PGIM India Liquid Monthly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Liquid Fund,8.88,1.2229,1.12,2.63,2.11,1.21,Low
QuantValueGrowthDirectPlan_INF966L01AN3.xlsx,INF966L01AN3,Quant Value Growth Direct Plan,QUANTMUTUALFUND_MF,Equity,Value Fund,3.06,1.7228,10.73,31.17,23.81,18.95,Medium
PGIMIndiaEquitySavingGrowthDirectPlan_INF223J01QD0.xlsx,INF223J01QD0,PGIM India Equity Saving Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Equity Savings,8.79,5.6869,14.27,8.68,8.6,5.12,Low
PGIMIndiaEmergingMarketsEquityFoFGrowthDirectPlan_INF223J01NL0.xlsx,INF223J01NL0,PGIM India Emerging Markets Equity FoF Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Fund of Funds,8.78,1.4521,9.56,10.26,17.17,19.56,Medium
PGIMIndiaUltraShortDurationMonthlyIDCWPayoutDirectPlan_INF223J01QP4.xlsx,INF223J01QP4,PGIM India Ultra Short Duration Monthly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,8.77,0.3161,2.7,1.78,1.58,18.53,Medium
PGIMIndiaELSSTaxSaverIDCWPayoutDirectPlan_INF663L01FO3.xlsx,INF663L01FO3,PGIM India ELSS Tax Saver IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,ELSS,ELSS,9.02,2.1321,14.82,9.43,5.85,16.73,Medium
QuantMidCapIDCWReinvestDirectPlan_INF966L01879.xlsx,INF966L01879,Quant Mid Cap IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Equity,Mid Cap Fund,11.98,7.6844,23.03,26.56,19.53,15.82,Medium
PGIMIndiaGlobalSelectRealEstateSecuritiesFoFGrowthDirectPlan_INF663L01W63.xlsx,INF663L01W63,PGIM India Global Select Real Estate Securities FoF Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Fund of Funds,3.04,0.4669,4.87,7.32,9.74,16.37,Medium
SBIArbitrageOpportunitiesIDCWPayoutDirectPlan_INF200K01QT2.xlsx,INF200K01QT2,SBI Arbitrage Opportunities IDCW Payout Direct Plan,SBIMutualFund_MF,Equity,Arbitrage Fund,11.83,0.5443,3.64,7.61,7.83,1.93,Low
QuantumELSSTaxSaverGrowthDirectPlan_INF082J01069.xlsx,INF082J01069,Quantum ELSS Tax Saver Growth Direct Plan,QUANTUMMUTUALFUND_MF,ELSS,ELSS,15.96,11.7806,22.68,22.69,20.19,14.74,Low
QuantELSSTaxSaverGrowthDirectPlan_INF966L01986.xlsx,INF966L01986,Quant ELSS Tax Saver Growth Direct Plan,QUANTMUTUALFUND_MF,ELSS,ELSS,11.98,39.4422,24.99,23.25,17.55,17.3,Medium
QuantESGEquityGrowthDirectPlan_INF966L01AD4.xlsx,INF966L01AD4,Quant ESG Equity Growth Direct Plan,QUANTMUTUALFUND_MF,Equity,Equity - ESG Fund,4.11,3.7325,14.28,24.55,18.93,17.61,Medium
QuantOvernightIDCWReinvestDirectPlan_INF966L01BB6.xlsx,INF966L01BB6,Quant Overnight IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Debt - Bonds,Overnight Fund,2.15,0.0665,0.6,4.89,6.63,0.14,Low
PGIMIndiaUltraShortDurationWeeklyIDCWPayoutDirectPlan_INF223J01QR0.xlsx,INF223J01QR0,PGIM India Ultra Short Duration Weekly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,8.77,0.0045,0.04,0.02,0.0,18.49,Medium
QuantAbsoluteIDCWReinvestDirectPlan_INF966L01549.xlsx,INF966L01549,Quant Absolute IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Equity,Aggressive Hybrid Fund,11.98,6.3355,21.97,19.07,15.75,14.02,Low
PGIMIndiaMoneyMarketDailyIDCWReinvestDirectPlan_INF663L01U16.xlsx,INF663L01U16,PGIM India Money Market Daily IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Money Market Fund,4.78,0.0418,0.0,0.14,0.27,0.14,Low
PGIMIndiaOvernightGrowthDirectPlan_INF663L01T01.xlsx,INF663L01T01,PGIM India Overnight Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.48,5.1793,0.45,6.43,6.5,0.07,Low
QuantumDynamicBondMonthlyIDCWPayoutDirectPlan_INF082J01184.xlsx,INF082J01184,Quantum Dynamic Bond Monthly IDCW Payout Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Dynamic Bond,9.59,0.0955,0.93,1.19,1.11,3.71,Low
QuantLiquidWeeklyIDCWPayoutDirectPlan_INF966L01788.xlsx,INF966L01788,Quant Liquid Weekly IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Debt - Bonds,Liquid Fund,12.07,0.1521,1.09,1.33,1.68,0.82,Low
QuantFocusedIDCWPayoutDirectPlan_INF966L01838.xlsx,INF966L01838,Quant Focused IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Focused Fund,11.98,5.6223,21.4,23.08,18.09,17.32,Medium
QuantMultiAssetIDCWReinvestDirectPlan_INF966L01572.xlsx,INF966L01572,Quant Multi Asset IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Debt - Bonds,Multi Asset Allocation,11.98,11.4262,21.18,25.88,22.99,11.38,Low
PGIMIndiaMoneyMarketGrowthDirectPlan_INF663L01T84.xlsx,INF663L01T84,PGIM India Money Market Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Money Market Fund,4.78,18.8731,1.62,7.42,7.74,0.34,Low
PGIMIndiaDynamicBondQuarterlyIDCWReinvestDirectPlan_INF663L01AH8.xlsx,INF663L01AH8,PGIM India Dynamic Bond Quarterly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Dynamic Bond,9.52,26.764,2.27,1.24,1.38,4.46,Low
PGIMIndiaEquitySavingMonthlyIDCWPayoutDirectPlan_INF223J01QE8.xlsx,INF223J01QE8,PGIM India Equity Saving Monthly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Equity Savings,8.79,0.6387,5.02,1.81,1.51,5.44,Low
QuantumLiquidGrowthDirectPlan_INF082J01127.xlsx,INF082J01127,Quantum Liquid Growth Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Liquid Fund,18.81,0.7621,3.52,6.73,6.9,0.25,Low
QuantValueIDCWPayoutDirectPlan_INF966L01AO1.xlsx,INF966L01AO1,Quant Value IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Value Fund,3.06,1.689,11.06,31.07,23.72,18.95,Medium
PGIMIndiaLargeCapIDCWPayoutDirectPlan_INF663L01GS2.xlsx,INF663L01GS2,PGIM India Large Cap IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Large Cap Fund,8.79,2.4,10.18,9.74,6.92,16.32,Medium
QuantFocusedIDCWReinvestDirectPlan_INF966L01846.xlsx,INF966L01846,Quant Focused IDCW Reinvest Direct Plan,QUANTMUTUALFUND_MF,Equity,Focused Fund,11.98,5.6223,21.4,23.08,18.09,17.32,Medium
PGIMIndiaGiltQuarterlyIDCWPayoutDirectPlan_INF223J01NB1.xlsx,INF223J01NB1,PGIM India Gilt Quarterly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Gilt Fund,8.77,0.2976,2.05,1.18,1.22,4.3,Low
QuantumGoldSavingGrowthDirectPlan_INF082J01150.xlsx,INF082J01150,Quantum Gold Saving Growth Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Fund of Funds,13.57,3.1308,18.56,22.75,27.56,12.7,Low
QuantOvernightIDCWPayoutDirectPlan_INF966L01BA8.xlsx,INF966L01BA8,Quant Overnight IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Debt - Bonds,Overnight Fund,2.15,0.0665,0.6,4.89,6.63,0.14,Low
QuantumEquityFoFIDCWPayoutDirectPlan_INF082J01101.xlsx,INF082J01101,Quantum Equity FoF IDCW Payout Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Fund of Funds,15.41,7.8976,22.68,21.24,18.94,14.92,Low
QuantActiveGrowthDirectPlan_INF966L01614.xlsx,INF966L01614,Quant Active Growth Direct Plan,QUANTMUTUALFUND_MF,Equity,Multi Cap Fund,11.98,68.0626,23.64,20.99,14.43,17.58,Medium
